,title,summary
0,마틴 파와 나눈 패션에 대한 신랄한 인터뷰,"이번에도 기분 좋은 홀인이다. 마틴 파의 새 사진집 〈Fashion Faux Parr〉가 화제의 신간에 선정됐다. 기상천외한 스타일을 
강렬한 색과 에너지로..."
1,요즘 패션 성지는 이곳 ‘도산공원’… K패션 하이엔드 3대장 다 모였다,"서울 도산공원이 세계적으로 유명한 패션 브랜드들이 모인 럭셔리의 중심지로 떠올랐다. 한국 패션을 대표하는 3대 디자이너 브랜드 송지오, 
우영미,..."
2,"일본 시장, 왜 K패션을 찾나","[어패럴뉴스 정민경 기자] 다수의 한국 패션 브랜드가 최근 일본 리테일러들의 러브콜을 받고 있다. 조조타운 등 일본을 대표하는 패션 
플랫폼은 물론..."
3,"패션디자이너 유지영, '24 상하이 패션위크'서 뉴트렌드 선보여","상하이패션위크 유지영 패션디자이너 지난 28일 상하이 패션위크(Shanghai Fashion Week) 조직위로부터 특별 초청을 받은 
스페셜리스트 오뜨뀌뜨르..."
4,"소비침체에 휘청…패션업계, 4조 냉감 시장 선점 노린다","고물가·경기침체 장기화 여파로 올 1분기 부진한 실적을 거둔 패션업계가 신성장동력 찾기에 고심하고 있다.특히 올 여름 역대급 더위가 
예고되면서..."
5,"안소희, 거리를 화보로 만드는 '모던 시크' 패션","도심 속에서 포착된 안소희의 최신 패션이 길게 뻗은 다리 라인을 강조하며 시선을 사로잡았다. 자신의 인스타그램에 공개한 사진에서 그녀는 
트렌디..."
6,"[부산소식] 신세계 센텀시티, 지역상생 위한 부산패션마켓 열어","부산 신세계 센텀시티는 지하 2층 중앙광장에서 오는 18일까지 '부산패션마켓'을 진행한다. 이번 행사는 부산지역 패션의류와 슈즈 
브랜드를 홍..."
7,"수지, 단정한 재킷 패션이 '1억'…청초한 재킷+데님 패션 '눈길' : 네이트 연예","한눈에 보는 오늘 : 연예가 화제 - 뉴스 : [그 옷 어디 거] 영화 '원더랜드' 제작발표회 참석한 가수 겸 배우 수지 배우 수지가 
지난 9일 열린 영화..."
8,"대구섬유박물관 특별전 '패션디자이너, 문화를 이끈 사람들'","5월 2일부터 8월 4일까지 최경자·노라노·앙드레김 등 국내 패션디자이너 작품 전시. 1962년 한국 최초로 국제패션쇼에 출품된 
디자이너 최경자의..."
9,"'YG 특급 신인' 베이비몬스터, 패션 화보로 걸크러시 매력 '뿜뿜'",이탈리아 럭셔리 브랜드 구찌(Gucci)가 '베이비몬스터(BABYMONSTER)'와 함께한 '보그 코리아' 5월 디지털 커버를 공개했다.
10,英 온라인 패션 부후 심각한 경영난,한때 울트라 패션의 선두 주자로 명성을 떨쳤던 영국 온라인 패션 부후가 심각한 경영난으로 몸살을 앓고 있다.
11,"화사, 속옷 드러낸 파격 패션 '아찔'","마마무 화사가 파격적인 란제리룩을 무대 의상으로 선보였다. 12일 화사는 ""HONG KONG ! 귀한 시간이였어. 잊지 못할거야""라는 
글과 함께 사진 여러..."
12,"리복, 퓨처버스와 인공지능 패션 경험 '리복 임팩트' 서비스","상징적이고 독창적인 스포츠 문화 브랜드인 리복(Reebok)이 인스타그램의 맞춤형 인공지능(AI) 패션 경험인 '리복 
임팩트(Reebok Impact)'를 지난 9..."
13,"예술 혹은 패션, 과장된 쿠튀르 실루엣의 아름다움","youtube. W Fashion2024.05.12. 예술 혹은 패션, 과장된 쿠튀르 실루엣의 아름다움. 과장된 실루엣이 전하는 압도적 
존재감."
14,"서울 도산공원, K패션 성지 부상하나?...하이엔드 브랜드 집결",K패션 하이엔드 브랜드 '송지오·우영미·준지' 등 도산공원에 집결 디자인 철학과 브랜드 정체성 반영 플래그십 스토어 줄줄이 오픈.
15,"中 이커머스 영향에 '휘청'... 삼성·한섬 등 국내 주요 패션업체, 1분기 영업익 일제히 감소","국내 대표 패션업체들의 지난 1분기 영업이익이 일제히 감소했다. 고물가 및 고금리 등으로 소비심리가 침체된 것이 수익 악화로 연결 된 
것이다."
16,'소비 침체'에 또다시 휘청한 K패션업계…1분기 실적 하락 이어져,"삼성물산 패션부문, 매출·영업익 각각 1.7%·5.3% 감소 한섬, 매출·영업이익 전년 같은 기간 대비 3%, 40.2%↓ F&F, 
매출 소폭 증가…"
17,“속옷이 훤히”…올 여름 엄청 야한 패션이 유행 중이다 ‘비상’,"날이 갈수록 속옷을 완전히 드러내는 파격적인 패션이 연예계를 휩쓸고 있다. 남들의 시선을 신경 쓰지 않고 자신만의 스타일로 당당한 
모습을 보여..."
18,‘팀장님 아이 좀 보고 올게요!’ 패션뷰티업계 ‘사내 복지’ 경쟁도 각양각색,[한스경제=고예인 기자]주요 패션뷰티기업들이 여직원의 성장을 돕기 위한 다양한 제도와 조직문화를 강화하면서 사내 복지에 힘을 쏟는다.
19,"박규영, 베이직한 블랙탑으로 섹시하게 | 패션서울",박규영은 여기에 베이직한 블랙탑을 매치해 깔끔하고 모던한 느낌을 주는 자연스러운 캐주얼룩을 완성했다.
20,"“여름 준비는 지금부터” LF 보리보리, 패션위크 프로모션 실시","[디지털데일리 왕진화 기자] LF 트라이씨클의 유아동 전문몰 '보리보리'는 본격 여름 시작을 앞두고 패션위크 프로모션을 실시한다고 
13일 밝혔다."
21,고소영의 세련된 여행 패션 TPO 노하우,"편한데 스타일리시해! 소영 언니한테 배우는 트래블 룩.여행이란 언제나 설레는 일입니다. 여기에 매력을 한껏 끌어올리고 사진도 잘 나오는 
여행지..."
22,"올 여름 데일리 룩, ‘시타’에 맡겨 | 패션서울","컨템포러리 여성 브랜드 씨타(CITTA)가 24 썸머 컬렉션, '썸머 인 더 시티(Summer in the City)'를 공개했다."
23,美 10대들의 패션 '루21' 파산 보호 신청,"한때 미국 10대들이 즐겨 찾던 패션 브랜드, 쇼핑몰의 필수품으로 인기를 누렸던 '루21(Rue 21)'이 델라웨어 파산은행에 파산 
보호 신청을 냈다."
24,"비욘드클로젯, 위트 있는 디테일 담은 새로운 컬렉션 공개 | 패션서울",고태용 디자이너의 '비욘드클로젯(Beyond Closet)'이 컬렉션 라인 앤아카이브(N Archive) 여름 신제품 라인업을 공개했다.
25,"“지그재그, 패션 당일 배송 시대 열었다” 당일 및 새벽 도착하는 ‘퀵 배송’ 주문량 역대 최대","[한스경제=고예인 기자] 카카오스타일이 운영하는 스타일 커머스 플랫폼 '지그재그'는 상품 주문 당일 혹은 새벽에 도착하는 '퀵 배송' 
주문량이 4월..."
26,"더 이상 어렵지 않아요! 블록 코어 룩의 멈추지 않는 질주 - FASHION 읽을거리 | 하퍼스 바자 코리아 (Harper's 
BAZAAR ...","언제나 근사한 스타일과 자신감 넘치는 태도, 탁월한 실력으로 월드 와이드 DJ 이자 패션 아이콘으로 떠오른 페기 구. 럭셔리 브랜드의 
클래식 아이템..."
27,"안다르, 하이엔드 감성 여성 스윔웨어 대거 출시","애슬레저 브랜드 안다르가 워터 컬렉션을 강화하기 위해 하이엔드 감성을 담은 고기능성 스윔웨어 등을 대거 출시했다. 먼저 새로 선보인 
스윔웨어는..."
28,예비 패션 디자이너 의상 어때요,"예비 패션 디자이너 의상 어때요 롯데아울렛 율하점은 지역 대학생들의 끼와 재능을 선보이는 '제2회 대구·경북지역 대학 페스티벌'을 
성황리에..."
29,"신세계인터내셔날, 1분기 화장품 '역대 최대 분기 실적', 패션 매출 '부진'","화장품 매출 1,004억 전년대비 13% 증가 수입, 자체 브랜드 모두 두자릿수 성장. 신세계인터내셔날(031430)은 올해 
1분기 연결 기준 영업이익이."
30,한 장으로도 충분히 만족스러운 셀럽들의 여름 티셔츠 스타일링! 패션 인스타그램,"뉴진스부터 나띠까지, 셀럽들이 고른 여름 티셔츠는?뉴진스이번 주 인스타그램 속 셀럽들은 반팔 티셔츠를 활용한 다양한 여름 룩을 한발 
앞서 선보였..."
31,미지의 세계로 - FASHION,"<이상한 나라의 앨리스>에 등장하는 토끼는 말끔한 턱시도 차림에 회중시계를 들고 앨리스를 환상의 세계로 이끈다. 뜻밖의 상상력으로 
기발한 디자인..."
32,"혜리 “30대는 내 중심으로, 심신 환기해보고 싶다” [화보]","'WWD 코리아'가 배우 혜리와 함께한 6월호 커버 화보를 공개했다.초여름의 미묘한 설렘을 표현한 이번 화보 컨셉트 속에서 혜리는 
다채로운 스타일링..."
33,[청년발언대] 세대 소통의 또 다른 매개체 '패션',【 청년일보 】 시니어와 젊은 층과의 문화적 간극이 가장 큰 분야에 무엇이 있을까? 하나를 꼽으라면 그중에 '패션'이 있지 않을까 싶다.
34,"샤이니 온유, '쿨&힙' 캐주얼룩 화보 공","샤이니 온유(ONEW)가 화보를 통해 색다른 매력을 과시했다.패션매거진 마리끌레르는 오늘(14일) 공식 홈페이지를 통해 온유와 진행한 
6월호 화보의..."
35,신세계 센텀시티서 18일까지 '지역상생' 부산패션마켓,"(부산=연합뉴스) 민영규 기자 = 신세계 센텀시티는 오는 18일까지 지하 2층 중앙광장에서 지역 상생을 위한 부산패션마켓을 진행한다고 
13일 밝..."
36,불황에도 신명품 인기 … 패션기업 효자로,"소비 위축으로 명품을 비롯한 패션업계 전반이 부진하지만 '신(新)명품'의 인기는 지속되고 있는 것으로 나타났다. 신명품이란 초고가 명품 
브랜드..."
37,남자도 원피스를 입을 수 있다 - STYLE,"남자가 원피스를 입어도 될까? 당연히 된다. 조선시대의 철릭, 이집트의 튜닉, 로마의 토가를 보면 알 수 있듯 원피스는오래전부터 남자의 
옷이기도..."
38,"삼성물산 패션 ‘시프트 G’, 롯데백화점 본점 입점","삼성물산 패션부문은 자사 브랜드 '시프트 G(Shift G)'가 롯데백화점 본점에 입점했다고 14일 밝혔다. 본점 6층에 43㎡ (약 
13평) 규모로 운영하며,..."
39,"강지영, 긱시크룩으로 전하는 캐주얼한 매력",강지영이 도심에서 감각적인 긱시크룩을 선보이며 트렌드한 모습을 연출했다. 최근 자신의 인스타그램에 공개한 사진에서 그녀는 일상에서도...
40,"유니클로, ‘2024 SS 로저 페더러 컬렉션 by JW 앤더슨' 출시","[한스경제=고예인 기자] 글로벌 패션 브랜드 유니클로(UNIQLO)가 테니스 전설이자 유니클로 글로벌 브랜드 앰배서더인 로저 
페더러(Roger Federer)와..."
41,"화사, 속옷 다 드러낸 노출 패션 포기 못해 “홍콩, 잊지 못할거야”","가수 화사가 다시 한번 파격 노출 패션으로 아시아 전역을 뜨겁게 달궜다. 화사는 지난 12일 개인 계정을 통해 ""HONG KONG! 
귀한 시간이었어."
42,"화사, 입에 성냥 물고 화끈하게 노출한 란제리 패션 ""귀한 시간"" [N샷]","(서울=뉴스1) 황미현 기자 = 가수 화사가 과감한 패션을 선보였다. 화사는 지난 12일 자신의 인스타그램에 ""홍콩! 귀한 시간이었어, 
잊지 못할 거야""..."
43,정희승의 시선이 담긴 패션 그리고 장미 - FASHION 읽을거리,"튤 드레스는 Simone Rocha. 알토릴리에보(Altorilievo) 기법을 통해 수작업으로 제작한 자수 톱, 데님 팬츠는 
Valentino."
44,"[패션엔] [패션엔 포토] 아이브 장원영, 청담동에 뜬 21살 요정! 인형같은 Y2K 블랙 프레피룩","'미우 미우' 청담 장원영 셀렉트 오픈...장원영, 신현지, 손연재, 송건희 등 참석."
45,"'8㎏ 감량' 소유, 하의실종 패션…극강의 섹시美",그룹 '씨스타' 출신 솔로가수 소유가 근황을 밝혔다. 소유는 13일 자신의 소셜미디어에 별다른 말 없이 사진 여러 장을 올렸다.
46,나도 오늘은 패션모델! '드림모델 원데이 클래스',"대구경북패션사업협동조합(이사장 정순식)은 2024 패션뷰인대구 드림모델 체험행사 '원데이클래스'를 5월 29일(수) 
패션디자인개발지원센터 2층..."
47,석촌호수에서 런웨이 '서울패션로드' 첫 선…직관할 400명 모집 | 서울특별시 미디어재단 TBS,"서울의 일상에 다채로운 패션 매력을 더하는 특별한 야외 패션쇼가 석촌호수에서 열립니다. 서울시는 '서울의 모든 길이 K-패션을 선보이는 
런웨이가..."
48,"[ET포토] 제로베이스원 김태래, '슬림한 블랙 패션'","그룹 제로베이스원(ZEROBASEONE /성한빈, 김지웅, 장하오, 석매튜, 김태래, 리키, 김규빈, 박건욱, 한유진)이 13일 서울 
용산 블루스퀘어에서 진행된..."
49,"삼성물산 패션, '시프트 G', 롯데백화점 본점에 공식 매장 오픈",삼성물산 패션부문의 유틸리티 워크웨어 브랜드 '시프트 G(Shift G)'는 롯데백화점 본점에 공식 매장을 오픈했다고 14일 밝혔다.
50,"안다르, 멋진 핏 완성하는 ‘워터 컬렉션’ 확대","[이뉴스투데이 최용선 기자] 애슬레저 브랜드 안다르는 워터 컬렉션을 강화하기 위해, 하이엔드 감성을 담은 고기능성 스윔웨어 등을 대거 
출시했다고..."
51,패션업계 1분기 성적표 '울상'…돌파구는 해외시장·뷰티?,"국내 주요 패션업계가 고물가·고금리 장기화에 따른 소비심리 위축 영향으로 올해 1분기 울적한 성적표를 받아 들었다. 상대적으로 단가가 
낮은 의류..."
52,"유니클로, '2024 SS 로저 페더러 컬렉션 by JW 앤더슨' 출시","［월요신문=정채윤 기자］글로벌 패션 브랜드 유니클로(UNIQLO)는 테니스 전설이자 유니클로 글로벌 브랜드 앰배서더인 로저 
페더러(Roger Federer)와..."
53,국립현대미술관에서 발견한 2024 지속가능한 패션,개방형 수장고를 통해 지속가능한 예술 세계를 구현한 국립현대미술관 청주와 패션의 아름다운 동행.
54,K팝 그룹 향한 인종차별까지…미 패션 행사 '멧 갈라' 논란 총정리 [지금이뉴스],미국 패션계 최대 행사로 꼽히는 멧 갈라(Met Gala)에서 웃지 못할 논란과 해프닝이 ...
55,"김성령, 50대 하의실종 멋쟁이! 은근 귀여운 블레이저 재킷 하의실종룩","배우 김성령이 50대라고는 믿기지 않는 투 버튼 블레이저 재킷의 하의실종룩으로 시선을 강탈했다. 김성령은 13일 자신의 채널에 
“채연이의 멋진..."
56,"뉴진스, 日 거장과 잇단 협업…이번엔 '스트리트 패션 대부'와","[서울=뉴시스]추승현 기자 = 그룹 '뉴진스'가 일본 스트리트 패션 대부이자 음악 프로듀서, 뮤지션 등으로 유명한 히로시 
후지와라(Hiroshi Fujiwara)..."
57,"[포토S] 송건희, 연청 패션","[스포티비뉴스=서울, 곽혜미 기자] 배우 송건희가 13일 오후 서울 강남구 청담동 한 매장에서 진행된 명품 패션 브랜드 행사에 참석해 
포즈를 취하고..."
58,"무신사 키즈, '뉴발란스 키즈' 브랜드숍 론칭","［월요신문=정채윤 기자］무신사가 운영하는 키즈 브랜드 패션 편집숍 무신사 키즈에 인기 유아동 브랜드가 잇따라 입점해 젊은 층 부모 
고객들의..."
59,"무신사 키즈, '뉴발란스 키즈' 브랜드숍 론칭","［월요신문=정채윤 기자］무신사가 운영하는 키즈 브랜드 패션 편집숍 무신사 키즈에 인기 유아동 브랜드가 잇따라 입점해 젊은 층 부모 
고객들의..."
60,"김세정, 쿨한 여름! 때로는 귀엽게 때로는 도도한 심쿵 섬머룩","여성 패션 브랜드 잇미샤(it MICHAA)는 브랜드 뮤즈 김세정과 함께한 2024 섬머 캠페인 화보를 공개했다. 이번 캠페인은 'MY 
SUMMER PALETTE'라는..."
61,박민영 '슬랙스 바지에 민소매로 뽐낸 공항패션'[포토엔HD] : 네이트 연예,"한눈에 보는 오늘 : 방송/가요 - 뉴스 : [인천공항(영종도)=뉴스엔 지수진 기자] 배우 박민영(PARK MIN YOUNG)이 5월 
13일 오후 인천 중구 운서동..."
62,"'논란 일색' 멧 갈라, K팝 그룹 인종차별·코르셋 패션·AI 조작까지",미국 패션계 최대 행사로 꼽히는 멧 갈라(Met Gala)에서 웃지 못할 논란과 해프닝이 ...
63,"신세계 센텀시티, '부산패션마켓' 진행…18일까지","(부산=뉴스1) 조아서 기자 | 신세계백화점 센텀시티는 오는 18일까지 지하 2층 중앙광장에서 '부산패션마켓'을 진행한다고 13일 
밝혔다."
64,"[단독] 유니클로, 국내에도 패션 스타일 검색 앱 '스타일힌트' 선보인다","유니클로가 국내에서도 패션 스타일 검색 어플리케이션(앱) '스타일힌트'를 출시한다.고물가·경기침체로 소비 심리가 위축된 가운데 
알리익스프레스·..."
65,파리의 대저택에서 펼쳐진 임지연의 여름 < 스타화보 < 스타패션 < 기사본문,"여름이 성큼 다가온 가운데, 컨템포러리 브랜드 시슬리가 전속모델 임지연과 함께한 화려하고 고급스러운 여름 화보를 공개했다.파리 근교의 
호화로운..."
66,센스가 돋보여! 셀럽과 함께한 패션 브랜드들,패션 트렌드의 선두 주자로 손꼽히는 블랙핑크의 제니와 에이셉 라키. 이들의 센스가 한껏 담긴 협업 컬렉션을 소개한다.
67,"“굉장히 시스루” 엄정화, 파리서 과감해진 패션..‘숨멎’ 자태 [Oh!쎈 포인트] - 조선비즈","굉장히 시스루 엄정화, 파리서 과감해진 패션..숨멎 자태 Oh쎈 포인트 가수 겸 배우 엄정화가 파리에서 아찔한 자태를 뽐냈다."
68,"동해시, 패션 중견기업과 공동 상품 출시 > 뉴스데스크",동해시가 굴지의 퍠션업게 중견기업과 지역을 알리고 상생하는 로컬 프로젝트를 추진합니다. 동해시는 패션업체 브랜드를 통해
69,"(재)국제모델협회, 대한민국 국제패션영화제 개최 추진","지난 4월 26일 오후 4시부터 서울 논현동 건설공제조합 2층 CG아트홀에서 열린 이장호 감독 50주년 기념식 '감독 이장호와 떠나는 
타임머신 여행'에..."
70,"""어쩐지 지하철에 많더라""…아이유가 퍼뜨린 '의외의 패션'","뉴진스·'파묘' 봉길도 쓴다 패션아이템 된 헤드폰 인기. 사진제공=(주)쇼박스. 사진제공=(주)쇼박스 경기 수원에서 서울 을지로까지 
출퇴근하는 30대..."
71,'힙한 꽃중년' 패션업계 새 트렌드로,부산시와 무신사가 협업한 메이크오버 이벤트 '힙 부산' 포스터. 부산시 제공 가정의 달을 맞아 패션업계가 중·장년을 새롭게 스타일링...
72,"동광 온라인몰 '숲몰', AI 활용 고객 맞춤 혁신적 쇼핑 경험 제공 폭풍 성장","13만명 회원 보유 급성장 첨단 AI 검색 기능과 라이브 커머스, 온오프라인 통합 멤버십 제공."
73,"와이드앵글, 쾌적한 여름 라운딩 위한 '타공팬츠' 출시","골프웨어 브랜드 와이드앵글이 여름을 맞아 통기성과 시원함을 극대화한 '타공팬츠' 시리즈를 선보인다.남성들의 쾌적한 골프 라운드를 위해 
개발된..."
74,"디자이너 유지영, 2024 상해패션위크서 세계 패션계에 공식 출사표","(중국 상하이=국제뉴스) 이대웅 기자 = 한국 패션 디자이너 유지영이 세계 패션계에 공식적인 출사표를 던졌다.'AW 2024 
Shanghai Fashion Week(가을·..."
75,"서울 중구, '의류패션지원센터' 직영 체제로 전환","(서울=연합뉴스) 정준영 기자 = 서울 중구(구청장 김길성)는 위탁 운영하던 동화동 의류패션지원센터를 이달부터 직영 체제로 전환한다고 
9일 밝..."
76,"뉴진스,日 스트리트 패션 대가 '히로시 후지와라'와 협업","대한민국 오후를 여는 유일석간 문화일보 munhwa.com - 그룹 뉴진스(NewJeans)가 문화 예술계 거장들과 잇따라 
협업한다.11일 소속사 어도어(ADOR)에..."
77,"[사진]샤이니 키,'톡톡 튀는 패션' - 조선비즈","사진샤이니 키,톡톡 튀는 패션 그룹 샤이니 키가 12일 오후 KCON JAPAN 2024케이콘 재팬 2024 스케쥴을 마치고 
김포국제공항을 통해 귀국했다."
78,"[사진]샤이니 키,'완벽 청청패션' - 조선비즈","사진샤이니 키,완벽 청청패션 그룹 샤이니 키가 12일 오후 KCON JAPAN 2024케이콘 재팬 2024 스케쥴을 마치고 
김포국제공항을 통해 귀국했다."
